student_id,name,programme,level,semester,gpa,attendance,credit_ratio,failed_modules,financial_flag,repeated_course,probation,dropout
UEN/BA/2021/001,Ama Antwi,Business Admin.,200,1,2.07,65.5,0.571,2,0,0,0,1
UEN/ME/2021/002,Kojo Asante,Mech. Engineering,200,2,3.3,85.7,0.804,2,0,0,0,0
UEN/CS/2021/003,Owusu Frimpong,Computer Science,200,1,2.96,86.1,0.759,1,0,0,0,0
UEN/CS/2022/004,Efua Amoah,Computer Science,300,1,2.12,70.4,0.697,2,0,0,0,1
UEN/CS/2020/005,Nana Darko,Computer Science,100,2,2.3,65.6,0.68,1,0,0,0,1
UEN/BA/2021/006,Nana Addo,Business Admin.,200,1,4.0,100.0,0.931,0,0,0,0,0
UEN/CS/2021/007,Ato Quartey,Computer Science,200,2,3.91,91.1,0.961,0,0,0,0,0
UEN/EE/2023/008,Ato Acheampong,Electrical Eng.,400,2,3.52,84.5,0.883,0,0,0,0,0
UEN/BA/2021/009,Kow Addo,Business Admin.,200,1,2.37,69.0,0.81,1,0,0,0,0
UEN/CS/2023/010,Asante Sarpong,Computer Science,400,1,2.76,79.4,0.905,1,0,0,0,0
UEN/EE/2022/011,Ama Ansah,Electrical Eng.,300,2,3.68,100.0,0.915,0,0,0,0,0
UEN/EE/2020/012,Kweku Frimpong,Electrical Eng.,100,1,2.27,69.2,0.65,1,0,0,0,0
UEN/EE/2022/013,Efua Fordjour,Electrical Eng.,300,1,4.0,100.0,1.0,0,0,0,0,0
UEN/EE/2021/014,Kow Amoah,Electrical Eng.,200,1,3.71,89.8,0.869,0,0,0,0,0
UEN/CS/2022/015,Esi Twumasi,Computer Science,300,1,2.91,72.9,0.728,1,0,0,0,0
UEN/EE/2023/016,Yaw Agyei,Electrical Eng.,400,1,2.99,81.6,0.754,1,0,0,0,0
UEN/CS/2021/017,Ato Quartey,Computer Science,200,2,3.21,94.0,0.857,1,0,0,0,0
UEN/EE/2020/018,Afia Frimpong,Electrical Eng.,100,2,2.43,75.0,0.595,2,0,0,0,1
UEN/CS/2021/019,Asante Addo,Computer Science,200,2,3.72,87.6,0.933,0,0,0,0,0
UEN/EE/2022/020,Kwesi Ansah,Electrical Eng.,300,2,3.22,93.1,0.88,0,0,0,0,0
UEN/EE/2022/021,Kow Frimpong,Electrical Eng.,300,1,3.22,75.7,0.853,1,0,0,0,0
UEN/ME/2022/022,Efua Darko,Mech. Engineering,300,2,3.24,93.6,0.767,2,0,0,0,0
UEN/EE/2022/023,Ama Kumi,Electrical Eng.,300,2,1.29,47.4,0.804,2,0,0,1,1
UEN/CS/2022/024,Ama Osei,Computer Science,300,2,2.86,77.7,0.704,1,0,0,0,0
UEN/CS/2020/025,Esi Amoah,Computer Science,100,2,3.23,87.4,0.852,3,0,0,0,0
UEN/CS/2020/026,Nana Mensah,Computer Science,100,1,1.99,78.1,0.712,3,0,0,0,1
UEN/ME/2023/027,Yaw Kumi,Mech. Engineering,400,1,2.86,81.2,0.947,1,0,0,0,0
UEN/EE/2022/028,Abena Twumasi,Electrical Eng.,300,2,2.81,55.6,0.765,2,0,0,0,1
UEN/BA/2021/029,Efua Quartey,Business Admin.,200,2,3.73,88.6,0.934,0,0,0,0,0
UEN/BA/2021/030,Akosua Agyei,Business Admin.,200,2,2.95,89.3,0.875,1,0,0,0,0
UEN/CS/2023/031,Kobby Quartey,Computer Science,400,2,3.6,88.2,0.967,0,0,0,0,0
UEN/CS/2022/032,Adjoa Sarpong,Computer Science,300,1,3.66,92.4,0.96,0,0,0,0,0
UEN/BA/2023/033,Ato Frimpong,Business Admin.,400,2,3.64,100.0,1.071,1,0,0,0,0
UEN/CS/2021/034,Akosua Sarpong,Computer Science,200,1,3.01,86.3,1.022,0,0,0,0,0
UEN/ME/2022/035,Kwesi Twumasi,Mech. Engineering,300,2,3.53,100.0,0.86,0,0,0,0,0
UEN/BA/2022/036,Kobby Acheampong,Business Admin.,300,1,2.0,65.1,0.758,2,0,0,0,0
UEN/CS/2023/037,Esi Addo,Computer Science,400,1,3.32,92.1,0.985,1,0,0,0,0
UEN/CS/2020/038,Ato Sarpong,Computer Science,100,2,2.85,79.1,0.883,1,0,0,0,0
UEN/ME/2020/039,Serwaa Nyarko,Mech. Engineering,100,1,3.73,99.4,0.881,0,0,0,0,0
UEN/EE/2022/040,Kobby Ansah,Electrical Eng.,300,2,2.65,76.8,0.877,2,0,0,0,0
UEN/CS/2022/041,Maame Owusu,Computer Science,300,1,3.27,80.8,0.828,1,0,0,0,0
UEN/BA/2020/042,Fiifi Osei,Business Admin.,100,1,1.82,69.8,0.647,2,0,0,0,1
